,Entity,Code,Year,Gas reserves/production ratio,Coal reserves/production ratio,Oil reserves/production ratio
0,World,OWID_WRL,1980-01-01,49.63064,0.0,29.71294
1,World,OWID_WRL,1981-01-01,50.559677,0.0,31.80971
2,World,OWID_WRL,1982-01-01,51.930416,0.0,34.550396
3,World,OWID_WRL,1983-01-01,52.54895,0.0,35.541157
4,World,OWID_WRL,1984-01-01,50.168175,0.0,35.475735
5,World,OWID_WRL,1985-01-01,50.215622,0.0,36.991226
6,World,OWID_WRL,1986-01-01,52.4675,0.0,40.046406
7,World,OWID_WRL,1987-01-01,51.38213,0.0,41.323154
8,World,OWID_WRL,1988-01-01,51.334763,0.0,43.575897
9,World,OWID_WRL,1989-01-01,55.2872,0.0,42.955597
10,World,OWID_WRL,1990-01-01,55.01452,0.0,42.173615
11,World,OWID_WRL,1991-01-01,57.190353,0.0,45.314014
12,World,OWID_WRL,1992-01-01,58.369595,0.0,44.902817
13,World,OWID_WRL,1993-01-01,58.292072,0.0,44.753307
14,World,OWID_WRL,1994-01-01,57.842945,0.0,44.660168
15,World,OWID_WRL,1995-01-01,57.024998,0.0,44.37065
16,World,OWID_WRL,1996-01-01,55.86273,0.0,44.214363
17,World,OWID_WRL,1997-01-01,57.13984,0.0,44.187054
18,World,OWID_WRL,1998-01-01,57.216637,0.0,43.43606
19,World,OWID_WRL,1999-01-01,57.092957,0.0,49.044518
20,World,OWID_WRL,2000-01-01,57.492493,0.0,47.81641
21,World,OWID_WRL,2001-01-01,62.049538,0.0,47.893196
22,World,OWID_WRL,2002-01-01,61.1968,0.0,50.247536
23,World,OWID_WRL,2003-01-01,59.345047,0.0,48.232735
24,World,OWID_WRL,2004-01-01,57.557476,0.0,46.27413
25,World,OWID_WRL,2005-01-01,55.621883,0.0,45.96558
26,World,OWID_WRL,2006-01-01,54.451042,0.0,45.90605
27,World,OWID_WRL,2007-01-01,55.55977,0.0,47.132378
28,World,OWID_WRL,2008-01-01,54.681805,0.0,49.07637
29,World,OWID_WRL,2009-01-01,57.457043,0.0,51.449123
30,World,OWID_WRL,2010-01-01,57.12007,0.0,53.830482
31,World,OWID_WRL,2011-01-01,55.850014,0.0,54.574608
32,World,OWID_WRL,2012-01-01,54.355446,0.0,53.504257
33,World,OWID_WRL,2013-01-01,53.871693,0.0,53.535465
34,World,OWID_WRL,2014-01-01,53.348293,0.0,52.312782
35,World,OWID_WRL,2015-01-01,51.606144,0.0,50.289574
36,World,OWID_WRL,2016-01-01,51.777004,0.0,50.30701
37,World,OWID_WRL,2017-01-01,51.13065,0.0,51.160645
38,World,OWID_WRL,2018-01-01,49.083374,0.0,50.135586
39,World,OWID_WRL,2019-01-01,47.953667,0.0,50.07503
40,World,OWID_WRL,2020-01-01,48.70466,138.91754,53.632973
41,World,OWID_WRL,2021-01-01,0.0,131.42766,0.0
