,Entity,Code,Year,Coal Consumption - TWh,Oil Consumption - TWh,Gas Consumption - TWh,Nuclear Consumption - TWh,Hydro Consumption - TWh,Wind Consumption - TWh,Solar Consumption - TWh,Geo Biomass Other - TWh
114,Algeria,DZA,1965-01-01,0.8141,15.4052515,7.4305,0.0,1.1827959,0.0,0.0,0.0
115,Algeria,DZA,1966-01-01,0.79084,20.272705,7.71925,0.0,1.0497311,0.0,0.0,0.0
116,Algeria,DZA,1967-01-01,0.60476,18.942032,7.48825,0.0,1.2123655,0.0,0.0,0.0
117,Algeria,DZA,1968-01-01,0.63965,20.167301,7.87325,0.0,1.664785,0.0,0.0,0.0
118,Algeria,DZA,1969-01-01,0.8141,21.30593,10.351687,0.0,1.067473,0.0,0.0,0.0
119,Algeria,DZA,1970-01-01,0.96529,24.347681,9.730875,0.0,1.7150539,0.0,0.0,0.0
120,Algeria,DZA,1971-01-01,0.26749,27.44005,11.0495,0.0,0.9758064,0.0,0.0,0.0
121,Algeria,DZA,1972-01-01,0.2326,30.121414,12.830125,0.0,1.4637097,0.0,0.0,0.0
122,Algeria,DZA,1973-01-01,0.26749,32.900345,17.859188,0.0,2.223656,0.0,0.0,0.0
123,Algeria,DZA,1974-01-01,0.22097,36.543842,20.6745,0.0,1.4696236,0.0,0.0,0.0
124,Algeria,DZA,1975-01-01,0.27912,40.63067,28.49,0.0,0.9698925,0.0,0.0,0.0
125,Algeria,DZA,1976-01-01,0.54661,46.71773,33.6875,0.0,1.1502689,0.0,0.0,0.0
126,Algeria,DZA,1977-01-01,0.70943,52.80649,35.90125,0.0,0.79543,0.0,0.0,0.0
127,Algeria,DZA,1978-01-01,0.36053,54.607944,57.65375,0.0,0.7392472,0.0,0.0,0.0
128,Algeria,DZA,1979-01-01,0.83736,65.31862,81.52375,0.0,0.8604839,0.0,0.0,0.0
129,Algeria,DZA,1980-01-01,0.74432,66.20243,109.43625,0.0,0.7599461,0.0,0.0,0.0
130,Algeria,DZA,1981-01-01,0.52335,71.323074,142.2575,0.0,1.0822581,0.0,0.0,0.0
131,Algeria,DZA,1982-01-01,9.71105,75.57342,161.41125,0.0,1.4163978,0.0,0.0,0.0
132,Algeria,DZA,1983-01-01,8.66435,84.89242,176.715,0.0,0.6948925,0.0,0.0,0.0
133,Algeria,DZA,1984-01-01,9.60638,94.00201,155.25125,0.0,1.3365592,0.0,0.0,0.0
134,Algeria,DZA,1985-01-01,10.02506,96.5538,153.8075,0.0,1.910215,0.0,0.0,0.0
135,Algeria,DZA,1986-01-01,10.29255,98.021255,168.4375,0.0,0.7392472,0.0,0.0,0.0
136,Algeria,DZA,1987-01-01,12.30454,99.100525,172.2875,0.0,1.4755375,0.0,0.0,0.0
137,Algeria,DZA,1988-01-01,11.57185,99.1726,194.13625,0.0,0.5411292,0.0,0.0,0.0
138,Algeria,DZA,1989-01-01,9.78083,103.93666,182.6825,0.0,0.66827947,0.0,0.0,0.0
139,Algeria,DZA,1990-01-01,7.66417,111.811615,195.09875,0.0,0.3991936,0.0,0.0,0.0
140,Algeria,DZA,1991-01-01,7.9084,110.627785,192.6925,0.0,0.8663978,0.0,0.0,0.0
141,Algeria,DZA,1992-01-01,9.39704,111.292656,198.94875,0.0,0.58844084,0.0,0.0,0.0
142,Algeria,DZA,1993-01-01,7.65254,110.754875,178.54375,0.0,1.0438173,0.0,0.0,0.0
143,Algeria,DZA,1994-01-01,7.2106,106.050896,188.16875,0.0,0.49086028,0.0,0.0,0.0
144,Algeria,DZA,1995-01-01,7.2106,103.14228,202.22125,0.0,0.5706989,0.0,0.0,0.0
145,Algeria,DZA,1996-01-01,3.39596,98.42208,207.7075,0.0,0.3991936,0.0,0.0,0.0
146,Algeria,DZA,1997-01-01,5.95456,97.64342,194.04,0.0,0.22177416,0.0,0.0,0.0
147,Algeria,DZA,1998-01-01,6.37324,100.658745,200.68124,0.0,0.6357528,0.0,0.0,0.0
148,Algeria,DZA,1999-01-01,6.82681,98.898346,205.10875,0.0,0.6002689,0.0,0.0,0.0
149,Algeria,DZA,2000-01-01,5.64055,103.13248,191.01294,0.0,0.1596775,0.0,0.0,0.0
150,Algeria,DZA,2001-01-01,6.5128,106.77534,197.32213,0.0,0.2027075,0.0,0.0,0.0
151,Algeria,DZA,2002-01-01,8.54805,118.39723,194.83888,0.0,0.16637361,0.0,0.0,0.0
152,Algeria,DZA,2003-01-01,7.04778,123.17412,205.93169,0.0,0.76853275,0.0,0.0,0.0
153,Algeria,DZA,2004-01-01,8.40849,128.74683,211.89919,0.0,0.72329473,0.0,0.0,0.0
154,Algeria,DZA,2005-01-01,6.90822,134.21338,223.55988,0.0,1.5900536,0.0,0.0,0.0
155,Algeria,DZA,2006-01-01,10.25766,139.84572,228.4975,0.0,0.61916,0.0,0.0,0.0
156,Algeria,DZA,2007-01-01,8.80391,156.39,233.80681,0.0,0.6390422,0.0,0.0,0.0
157,Algeria,DZA,2008-01-01,8.80391,169.9159,244.04187,0.0,0.79524636,0.0,0.0,0.0
158,Algeria,DZA,2009-01-01,5.65218,180.13443,262.1176,0.0,0.9551075,0.0,0.0,0.0
159,Algeria,DZA,2010-01-01,3.6053,181.61192,253.27225,0.0,0.4801753,0.0,0.02525,0.0
160,Algeria,DZA,2011-01-01,3.19825,192.22765,267.96964,0.0,1.0427713,0.0,0.049983334,0.0
161,Algeria,DZA,2012-01-01,3.39596,204.39526,298.74075,0.0,1.0666127,0.0,0.07327278,0.0
162,Algeria,DZA,2013-01-01,1.83754,213.57639,321.21512,0.0,0.2698164,0.0,0.077946946,0.0
163,Algeria,DZA,2014-01-01,2.08177,221.92516,360.91824,0.0,0.5228558,0.0027083333,0.16254583,0.0
