,Code,Year,Value,Value (TWh)
0,AUS,1960-01-01,31.483,366.14729000000005
1,AUS,1961-01-01,32.664,379.88232000000005
2,AUS,1962-01-01,34.085,396.40855000000005
3,AUS,1963-01-01,35.961,418.22643
4,AUS,1964-01-01,37.404,435.0085200000001
5,AUS,1965-01-01,39.44,458.6872
6,AUS,1966-01-01,41.321,480.56323000000003
7,AUS,1967-01-01,43.572,506.7423600000001
8,AUS,1968-01-01,45.197,525.64111
9,AUS,1969-01-01,46.513,540.94619
10,AUS,1970-01-01,50.822,591.0598600000001
11,AUS,1971-01-01,51.615,600.28245
12,AUS,1972-01-01,53.173,618.4019900000001
13,AUS,1973-01-01,57.057,663.5729100000001
14,AUS,1974-01-01,58.93,685.3559
15,AUS,1975-01-01,60.379,702.20777
16,AUS,1976-01-01,61.827,719.04801
17,AUS,1977-01-01,66.296,771.0224800000001
18,AUS,1978-01-01,66.474,773.0926200000001
19,AUS,1979-01-01,67.984,790.65392
20,AUS,1980-01-01,69.606,809.51778
21,AUS,1981-01-01,70.08,815.0304
22,AUS,1982-01-01,73.123,850.4204900000001
23,AUS,1983-01-01,70.011,814.22793
24,AUS,1984-01-01,72.31,840.9653000000001
25,AUS,1985-01-01,72.884,847.64092
26,AUS,1986-01-01,74.005,860.67815
27,AUS,1987-01-01,77.473,901.01099
28,AUS,1988-01-01,79.026,919.0723800000001
29,AUS,1989-01-01,84.031,977.2805300000001
30,AUS,1990-01-01,86.139,1001.79657
31,AUS,1991-01-01,85.125,990.0037500000001
32,AUS,1992-01-01,86.704,1008.36752
33,AUS,1993-01-01,91.195,1060.5978499999999
34,AUS,1994-01-01,91.296,1061.77248
35,AUS,1995-01-01,92.513,1075.9261900000001
36,AUS,1996-01-01,98.959,1150.89317
37,AUS,1997-01-01,101.283,1177.92129
38,AUS,1998-01-01,103.92,1208.5896
39,AUS,1999-01-01,106.187,1234.95481
40,AUS,2000-01-01,108.107,1257.28441
41,AUS,2001-01-01,105.749,1229.86087
42,AUS,2002-01-01,109.458,1272.99654
43,AUS,2003-01-01,110.743,1287.94109
44,AUS,2004-01-01,112.662,1310.25906
45,AUS,2005-01-01,113.485,1319.8305500000001
46,AUS,2006-01-01,117.94,1371.6422
47,AUS,2007-01-01,121.171,1409.2187300000003
48,AUS,2008-01-01,125.751,1462.48413
49,AUS,2009-01-01,125.931,1464.57753
50,AUS,2010-01-01,126.24,1468.1712
51,AUS,2011-01-01,126.969,1476.64947
52,AUS,2012-01-01,125.575,1460.4372500000002
53,AUS,2013-01-01,127.388,1481.5224400000002
54,AUS,2014-01-01,126.755,1474.16065
55,AUS,2015-01-01,126.589,1472.23007
56,AUS,2016-01-01,126.207,1467.7874100000001
57,AUS,2017-01-01,127.881,1487.25603
58,AUS,2018-01-01,128.737,1497.2113100000001
59,AUS,2019-01-01,129.286,1503.59618
60,AUS,2020-01-01,131.002,1523.5532600000001
61,AUS,2021-01-01,129.881,1510.51603
62,AUT,1960-01-01,10.898,126.74374
63,AUT,1961-01-01,11.013,128.08119000000002
64,AUT,1962-01-01,11.949,138.96687
65,AUT,1963-01-01,13.089,152.22507000000002
66,AUT,1964-01-01,13.401,155.85363
67,AUT,1965-01-01,13.465,156.59795
68,AUT,1966-01-01,13.933,162.04079000000002
69,AUT,1967-01-01,14.166,164.75058
70,AUT,1968-01-01,15.171,176.43873
71,AUT,1969-01-01,16.234,188.80142000000004
72,AUT,1970-01-01,18.058,210.01454
73,AUT,1971-01-01,18.816,218.83008
74,AUT,1972-01-01,19.822,230.52986
75,AUT,1973-01-01,21.477,249.77751
76,AUT,1974-01-01,20.75,241.32250000000002
77,AUT,1975-01-01,20.122,234.01886000000002
78,AUT,1976-01-01,21.691,252.26633
79,AUT,1977-01-01,21.173,246.24199
80,AUT,1978-01-01,21.879,254.45277000000004
81,AUT,1979-01-01,23.698,275.60774000000004
82,AUT,1980-01-01,23.155,269.29265000000004
83,AUT,1981-01-01,21.928,255.02264000000002
84,AUT,1982-01-01,21.437,249.31231000000002
85,AUT,1983-01-01,21.503,250.07989
86,AUT,1984-01-01,22.335,259.75605
87,AUT,1985-01-01,23.086,268.49018
88,AUT,1986-01-01,23.177,269.54851
89,AUT,1987-01-01,24.049,279.68987
90,AUT,1988-01-01,24.309,282.71367000000004
91,AUT,1989-01-01,23.919,278.17797
92,AUT,1990-01-01,24.88,289.3544
93,AUT,1991-01-01,26.487,308.04381
94,AUT,1992-01-01,25.45,295.9835
95,AUT,1993-01-01,25.742,299.37946000000005
96,AUT,1994-01-01,25.672,298.56536000000006
97,AUT,1995-01-01,26.818,311.89334
98,AUT,1996-01-01,28.5,331.45500000000004
99,AUT,1997-01-01,28.294,329.05922000000004
100,AUT,1998-01-01,28.772,334.61836
101,AUT,1999-01-01,28.71,333.89730000000003
102,AUT,2000-01-01,28.609,332.72267000000005
103,AUT,2001-01-01,30.229,351.56327
104,AUT,2002-01-01,30.483,354.51729
105,AUT,2003-01-01,32.136,373.74168000000003
106,AUT,2004-01-01,32.656,379.78928
107,AUT,2005-01-01,33.605,390.82615
108,AUT,2006-01-01,33.94,394.7222
109,AUT,2007-01-01,33.266,386.88358
110,AUT,2008-01-01,33.518,389.81434
111,AUT,2009-01-01,31.867,370.61321000000004
112,AUT,2010-01-01,33.998,395.39674
113,AUT,2011-01-01,32.959,383.31317000000007
114,AUT,2012-01-01,32.87,382.2781
115,AUT,2013-01-01,33.282,387.06966
116,AUT,2014-01-01,32.052,372.76476
117,AUT,2015-01-01,32.803,381.49889
118,AUT,2016-01-01,33.175,385.82525
119,AUT,2017-01-01,33.782,392.88466
120,AUT,2018-01-01,32.861,382.17343
121,AUT,2019-01-01,33.447,388.98861000000005
122,AUT,2020-01-01,31.516,366.53108000000003
123,AUT,2021-01-01,33.212,386.25556000000006
124,BEL,1960-01-01,23.059,268.17617
125,BEL,1961-01-01,23.608,274.56104000000005
126,BEL,1962-01-01,25.907,301.29841000000005
127,BEL,1963-01-01,28.271,328.79173000000003
128,BEL,1964-01-01,28.338,329.57094
129,BEL,1965-01-01,29.489,342.95707000000004
130,BEL,1966-01-01,29.072,338.10736
131,BEL,1967-01-01,30.496,354.66848
