,Year,sector,energy_products,consumption_ktoe,consumption_TWh
0,2009-01-01,Commerce and Services-related,Coal and Peat,0.0,0.0
1,2009-01-01,Commerce and Services-related,Crude Oil,0.0,0.0
2,2009-01-01,Commerce and Services-related,Electricity,1272.6,14.800337999999998
3,2009-01-01,Commerce and Services-related,Natural Gas,72.9,0.847827
4,2009-01-01,Commerce and Services-related,Others,0.0,0.0
5,2009-01-01,Commerce and Services-related,Petroleum Products,78.5,0.912955
6,2009-01-01,Households,Coal and Peat,0.0,0.0
7,2009-01-01,Households,Crude Oil,0.0,0.0
8,2009-01-01,Households,Electricity,552.9,6.4302269999999995
9,2009-01-01,Households,Natural Gas,54.0,0.62802
10,2009-01-01,Households,Others,0.0,0.0
11,2009-01-01,Households,Petroleum Products,25.3,0.29423900000000003
12,2009-01-01,Industry-related,Coal and Peat,3.0,0.03489
13,2009-01-01,Industry-related,Crude Oil,0.0,0.0
14,2009-01-01,Industry-related,Electricity,1338.8,15.570243999999999
15,2009-01-01,Industry-related,Natural Gas,726.4,8.448032
16,2009-01-01,Industry-related,Others,0.0,0.0
17,2009-01-01,Industry-related,Petroleum Products,4177.7,48.586650999999996
18,2009-01-01,Others,Coal and Peat,0.0,0.0
19,2009-01-01,Others,Crude Oil,0.0,0.0
20,2009-01-01,Others,Electricity,35.6,0.414028
21,2009-01-01,Others,Natural Gas,0.8,0.009304
22,2009-01-01,Others,Others,0.0,0.0
23,2009-01-01,Others,Petroleum Products,0.0,0.0
24,2009-01-01,Transport-related,Coal and Peat,0.0,0.0
25,2009-01-01,Transport-related,Crude Oil,0.0,0.0
26,2009-01-01,Transport-related,Electricity,138.2,1.6072659999999999
27,2009-01-01,Transport-related,Natural Gas,13.7,0.159331
28,2009-01-01,Transport-related,Others,0.0,0.0
29,2009-01-01,Transport-related,Petroleum Products,2193.3,25.508079000000002
30,2010-01-01,Commerce and Services-related,Coal and Peat,0.0,0.0
31,2010-01-01,Commerce and Services-related,Crude Oil,0.0,0.0
32,2010-01-01,Commerce and Services-related,Electricity,1330.2,15.470226
33,2010-01-01,Commerce and Services-related,Natural Gas,78.3,0.9106289999999999
34,2010-01-01,Commerce and Services-related,Others,0.0,0.0
35,2010-01-01,Commerce and Services-related,Petroleum Products,84.2,0.9792460000000001
36,2010-01-01,Households,Coal and Peat,0.0,0.0
37,2010-01-01,Households,Crude Oil,0.0,0.0
38,2010-01-01,Households,Electricity,570.6,6.636078
39,2010-01-01,Households,Natural Gas,53.9,0.626857
40,2010-01-01,Households,Others,0.0,0.0
41,2010-01-01,Households,Petroleum Products,21.7,0.252371
42,2010-01-01,Industry-related,Coal and Peat,5.9,0.068617
43,2010-01-01,Industry-related,Crude Oil,0.0,0.0
44,2010-01-01,Industry-related,Electricity,1518.7,17.662481
45,2010-01-01,Industry-related,Natural Gas,974.5,11.333435
46,2010-01-01,Industry-related,Others,0.0,0.0
47,2010-01-01,Industry-related,Petroleum Products,5465.2,63.560275999999995
48,2010-01-01,Others,Coal and Peat,0.0,0.0
49,2010-01-01,Others,Crude Oil,0.0,0.0
50,2010-01-01,Others,Electricity,33.1,0.384953
51,2010-01-01,Others,Natural Gas,0.8,0.009304
52,2010-01-01,Others,Others,0.0,0.0
53,2010-01-01,Others,Petroleum Products,0.0,0.0
54,2010-01-01,Transport-related,Coal and Peat,0.0,0.0
55,2010-01-01,Transport-related,Crude Oil,0.0,0.0
56,2010-01-01,Transport-related,Electricity,180.5,2.099215
57,2010-01-01,Transport-related,Natural Gas,20.8,0.241904
58,2010-01-01,Transport-related,Others,0.0,0.0
59,2010-01-01,Transport-related,Petroleum Products,2219.1,25.808132999999998
60,2011-01-01,Commerce and Services-related,Coal and Peat,0.0,0.0
61,2011-01-01,Commerce and Services-related,Crude Oil,0.0,0.0
62,2011-01-01,Commerce and Services-related,Electricity,1365.1,15.876112999999998
63,2011-01-01,Commerce and Services-related,Natural Gas,82.4,0.958312
64,2011-01-01,Commerce and Services-related,Others,0.0,0.0
65,2011-01-01,Commerce and Services-related,Petroleum Products,68.9,0.801307
66,2011-01-01,Households,Coal and Peat,0.0,0.0
67,2011-01-01,Households,Crude Oil,0.0,0.0
68,2011-01-01,Households,Electricity,557.4,6.482562
69,2011-01-01,Households,Natural Gas,55.2,0.641976
70,2011-01-01,Households,Others,0.0,0.0
71,2011-01-01,Households,Petroleum Products,24.8,0.288424
72,2011-01-01,Industry-related,Coal and Peat,5.7,0.066291
73,2011-01-01,Industry-related,Crude Oil,0.0,0.0
74,2011-01-01,Industry-related,Electricity,1554.4,18.077672
75,2011-01-01,Industry-related,Natural Gas,1019.7,11.859111
76,2011-01-01,Industry-related,Others,0.0,0.0
77,2011-01-01,Industry-related,Petroleum Products,5153.4,59.93404199999999
78,2011-01-01,Others,Coal and Peat,0.0,0.0
79,2011-01-01,Others,Crude Oil,0.0,0.0
80,2011-01-01,Others,Electricity,29.8,0.346574
81,2011-01-01,Others,Natural Gas,0.8,0.009304
82,2011-01-01,Others,Others,0.0,0.0
83,2011-01-01,Others,Petroleum Products,0.0,0.0
84,2011-01-01,Transport-related,Coal and Peat,0.0,0.0
85,2011-01-01,Transport-related,Crude Oil,0.0,0.0
86,2011-01-01,Transport-related,Electricity,191.2,2.2236559999999996
87,2011-01-01,Transport-related,Natural Gas,25.9,0.30121699999999996
88,2011-01-01,Transport-related,Others,0.0,0.0
89,2011-01-01,Transport-related,Petroleum Products,2366.9,27.527047
90,2012-01-01,Commerce and Services-related,Coal and Peat,0.0,0.0
91,2012-01-01,Commerce and Services-related,Crude Oil,0.0,0.0
92,2012-01-01,Commerce and Services-related,Electricity,1407.2,16.365736000000002
93,2012-01-01,Commerce and Services-related,Natural Gas,82.5,0.959475
94,2012-01-01,Commerce and Services-related,Others,0.0,0.0
95,2012-01-01,Commerce and Services-related,Petroleum Products,68.3,0.794329
96,2012-01-01,Households,Coal and Peat,0.0,0.0
97,2012-01-01,Households,Crude Oil,0.0,0.0
98,2012-01-01,Households,Electricity,570.0,6.6291
99,2012-01-01,Households,Natural Gas,56.9,0.661747
100,2012-01-01,Households,Others,0.0,0.0
101,2012-01-01,Households,Petroleum Products,23.7,0.27563099999999996
102,2012-01-01,Industry-related,Coal and Peat,23.0,0.26749
103,2012-01-01,Industry-related,Crude Oil,0.0,0.0
104,2012-01-01,Industry-related,Electricity,1596.9,18.571947
105,2012-01-01,Industry-related,Natural Gas,966.0,11.23458
106,2012-01-01,Industry-related,Others,0.0,0.0
107,2012-01-01,Industry-related,Petroleum Products,5562.0,64.68606
108,2012-01-01,Others,Coal and Peat,0.0,0.0
109,2012-01-01,Others,Crude Oil,0.0,0.0
110,2012-01-01,Others,Electricity,26.1,0.303543
111,2012-01-01,Others,Natural Gas,0.8,0.009304
112,2012-01-01,Others,Others,0.0,0.0
113,2012-01-01,Others,Petroleum Products,0.0,0.0
114,2012-01-01,Transport-related,Coal and Peat,0.0,0.0
115,2012-01-01,Transport-related,Crude Oil,0.0,0.0
116,2012-01-01,Transport-related,Electricity,200.2,2.3283259999999997
117,2012-01-01,Transport-related,Natural Gas,20.0,0.2326
118,2012-01-01,Transport-related,Others,0.0,0.0
119,2012-01-01,Transport-related,Petroleum Products,2292.7,26.664101
120,2013-01-01,Commerce and Services-related,Coal and Peat,0.0,0.0
121,2013-01-01,Commerce and Services-related,Crude Oil,0.0,0.0
122,2013-01-01,Commerce and Services-related,Electricity,1437.5,16.718125
123,2013-01-01,Commerce and Services-related,Natural Gas,89.3,1.038559
124,2013-01-01,Commerce and Services-related,Others,0.0,0.0
125,2013-01-01,Commerce and Services-related,Petroleum Products,87.3,1.015299
126,2013-01-01,Households,Coal and Peat,0.0,0.0
127,2013-01-01,Households,Crude Oil,0.0,0.0
128,2013-01-01,Households,Electricity,580.8,6.754703999999999
129,2013-01-01,Households,Natural Gas,57.5,0.668725
130,2013-01-01,Households,Others,0.0,0.0
131,2013-01-01,Households,Petroleum Products,29.1,0.338433
132,2013-01-01,Industry-related,Coal and Peat,129.0,1.50027
133,2013-01-01,Industry-related,Crude Oil,0.0,0.0
134,2013-01-01,Industry-related,Electricity,1620.2,18.842926
135,2013-01-01,Industry-related,Natural Gas,1145.9,13.326817
