Series Name,Series Code,Country Name,Country Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,BES Islands,BES,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3649.2135,3709.1935,3718.9135,3797.7535,..
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Nauru,NRU,1110.4,1070,973.4,901.6,825,784.6,650.2,582.29,592.45,433.86,410.271,416.085,383.494,388.257,350.183,352.343,398.973,422.911,432.4006,..
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Niue,NIU,54.78076,56.08258,56.51258,56.94258,59.29077,56.0944,55.72282,50.09382,47.6748447,68.2800901,58.959554,90.0917886,64.975616,62.2440293,66.5392626,68.6488271,70.4090083,71.8704691,74.35236,..
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Wallis and Futuna,WLF,0,0,0,0,73.60468,198.349766,195.791269,195.2825,195.2080665,191.0912201,197.8528,183.1366,185.3057,182.8696,186.007,176.3788,172.8164,171.249,169.378212992085,..
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Caucasian and Central Asia,CCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Caucasus and Central Asia,GCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Eastern Asia (including Japan),GEJ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Eastern Asia (not including Japan),GEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Eastern Europe,GEE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,Europe,GEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,High income,HIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
