"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1960",31.483,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1961",32.664,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1962",34.085,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1963",35.961,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1964",37.404,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1965",39.44,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1966",41.321,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1967",43.572,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1968",45.197,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1969",46.513,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1970",50.822,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1971",51.615,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1972",53.173,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1973",57.057,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1974",58.93,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1975",60.379,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1976",61.827,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1977",66.296,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1978",66.474,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1979",67.984,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1980",69.606,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1981",70.08,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1982",73.123,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1983",70.011,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1984",72.31,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1985",72.884,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1986",74.005,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1987",77.473,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1988",79.026,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1989",84.031,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1990",86.139,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1991",85.125,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1992",86.704,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1993",91.195,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1994",91.296,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1995",92.513,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1996",98.959,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1997",101.283,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1998",103.92,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","1999",106.187,
