Entity,Code,Year,Coal Consumption - TWh,Oil Consumption - TWh,Gas Consumption - TWh,Nuclear Consumption - TWh,Hydro Consumption - TWh,Wind Consumption - TWh,Solar Consumption - TWh,Geo Biomass Other - TWh
Africa,,1965,323.49612,341.26276,9.543755,0,41.118813,0,,
Africa,,1966,323.1222,369.48657,10.669916,0,45.862915,0,,
Africa,,1967,330.29156,368.12524,10.54567,0,47.875538,0,,
Africa,,1968,343.5129,389.19986,10.68897,0,56.000473,0,,
Africa,,1969,346.64294,396.92285,12.492,0,65.3521,0,,
Africa,,1970,360.7569,433.7723,15.520325,0,81.70288,0,,
Africa,,1971,383.01233,473.56543,18.405264,0,76.92132,0,0,0.164
Africa,,1972,384.21082,510.67264,24.670656,0,87.62504,0,0,0.165
Africa,,1973,408.91034,549.7197,39.551792,0,92.68892,0,0,0.17
Africa,,1974,425.6462,567.7997,44.518486,0,105.467155,0,0,0.175
Africa,,1975,451.0805,596.40466,53.63838,0,111.53163,0,0,0.172
Africa,,1976,481.07416,652.58044,60.98139,0,123.59515,0,0,0.185
Africa,,1977,491.69846,695.1663,68.23419,0,135.81087,0,0,0.189
Africa,,1978,477.81558,732.181,97.3699,0,136.92912,0,0,0.195
Africa,,1979,507.24698,770.9386,148.84282,0,146.56386,0,0,0.201
Africa,,1980,543.55707,817.23883,186.91399,0,142.85742,0,0,0.207
Africa,,1981,635.79877,883.8619,228.49117,0,148.41989,0,0,0.218
Africa,,1982,701.1759,925.22723,246.73355,0,148.4593,0,0,0.236
Africa,,1983,713.24603,964.55225,271.27533,0,133.79536,0,0,0.23
Africa,,1984,762.8978,981.7521,259.90277,11.137246,131.55637,0,0,0.234
Africa,,1985,787.1659,1007.09186,278.84274,15.081392,146.2222,0,0,0.269
Africa,,1986,805.3561,988.59314,313.2712,24.978643,151.23631,0,0,0.659
Africa,,1987,828.3197,1042.0686,323.38437,17.498955,145.05942,0,0,0.658
Africa,,1988,890.16077,1086.2682,358.44455,29.774044,158.47528,0,0,0.626
Africa,,1989,835.62085,1123.9265,371.47104,31.493578,166.40816,0,0,0.617
Africa,,1990,877.6783,1142.4028,398.6454,23.974163,169.3014,0,0,0.796
Africa,,1991,853.76215,1148.7052,401.6356,25.946238,179.34581,0,0,0.812
Africa,,1992,858.8312,1170.5247,421.27026,26.35484,171.09227,0,0,0.84225
Africa,,1993,871.7139,1180.0767,412.64398,20.58617,167.60956,0.0059166667,0,0.9377
Africa,,1994,894.4478,1221.8848,431.82794,27.515383,170.3109,0.015972223,0,0.835
Africa,,1995,922.47125,1266.7817,461.2435,32.066753,176.73593,0.018638888,0,1.0187
Africa,,1996,935.2283,1293.9713,484.19177,33.41174,184.2691,0.021,0,1.258093
Africa,,1997,959.0191,1332.2731,474.47552,35.88605,188.81114,0.021277778,0,1.3866404
Africa,,1998,937.03894,1363.5087,499.33698,38.59304,197.0978,0.022472221,0,1.7125492
Africa,,1999,966.0107,1414.5602,504.01962,36.42518,209.0126,0.058539443,0,1.6961248
Africa,,2000,963.7306,1420.3865,556.8224,36.91607,222.53064,0.5189514,0.03531389,2.2690632
Africa,,2001,975.9263,1432.6643,634.63617,30.21782,237.57632,1.2208859,0.043955833,2.3353527
Africa,,2002,934.4216,1479.1665,670.6054,33.585613,248.17819,1.2947481,0.04904361,2.2864
Africa,,2003,1017.04846,1524.8151,711.5067,35.24046,239.4766,1.5532919,0.05815889,2.6224
Africa,,2004,1119.1619,1586.5107,783.0682,36.957527,251.33617,2.213917,0.07079056,2.9788496
Africa,,2005,1039.0726,1654.9192,807.7816,31.029053,254.37917,2.2345567,0.084134445,3.0096693
Africa,,2006,1054.097,1673.7168,843.4421,27.37538,261.91766,2.425894,0.10786167,3.7704048
Africa,,2007,1071.6333,1734.7408,900.0697,30.707249,269.18546,2.8734944,0.14273277,3.1420484
Africa,,2008,1180.7251,1824.851,935.1621,35.06555,272.4835,3.686173,0.20416835,3.2673957
Africa,,2009,1176.0021,1885.9763,940.86066,34.31848,278.0456,4.438265,0.26759833,3.5627222
Africa,,2010,1164.8401,1966.2146,980.7318,36.028275,298.92563,6.3410387,0.5996614,3.764553
Africa,,2011,1147.2993,1934.1709,1060.527,34.154095,305.5224,6.5835404,1.6609554,3.8587685
Africa,,2012,1118.487,2046.8298,1146.7704,34.119267,304.97705,6.897696,2.7218072,4.0424066
Africa,,2013,1130.1606,2121.4414,1169.7455,36.891415,320.65207,9.793645,2.1463213,4.433249
Africa,,2014,1183.806,2143.3335,1202.32,35.859425,336.15042,13.708232,5.1585293,5.462047
Africa,,2015,1119.0386,2199.145,1325.3599,31.622433,324.2737,23.996231,8.775349,7.1696815
Africa,,2016,1186.288,2210.9258,1370.4951,38.599907,314.35477,29.919565,14.413415,7.231852
Africa,,2017,1185.0671,2233.0898,1448.7449,36.245564,336.2319,33.1529,20.687313,7.6260357
Africa,,2018,1163.5999,2257.502,1543.5508,29.399641,356.11508,39.075584,26.59893,8.17267
Africa,,2019,1231.3168,2262.0361,1549.7299,34.39065,367.50095,50.957653,33.98899,8.262966
Africa,,2020,1157.9011,2011.0526,1535.9724,35.155136,384.41803,55.94757,42.175064,8.066416
Africa,,2021,1168.7407,2183.542,1643.8152,26.1747,401.44714,63.888702,43.21504,8.026317
Africa (BP),,1965,323.49612,341.26276,9.543755,0,41.118813,0,,
Africa (BP),,1966,323.1222,369.48657,10.669916,0,45.862915,0,,
Africa (BP),,1967,330.2916,368.12524,10.54567,0,47.875538,0,,
Africa (BP),,1968,343.5129,389.19986,10.68897,0,56.00047,0,,
Africa (BP),,1969,346.6429,396.92288,12.492,0,65.3521,0,,
Africa (BP),,1970,360.7569,433.7723,15.520325,0,81.70288,0,,
Africa (BP),,1971,383.01233,473.56543,18.405264,0,76.92132,0,0,0.164
